"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"60","(default)","src/SimpleWebServer.java","3","67","LawOfDemeter: Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"61","(default)","src/SimpleWebServer.java","3","67","LiteralsFirstInComparisons: Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"62","(default)","src/SimpleWebServer.java","3","67","LiteralsFirstInComparisons: Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"63","(default)","src/SimpleWebServer.java","3","67","PositionLiteralsFirstInComparisons: Position literals first in String comparisons","Best Practices","PositionLiteralsFirstInComparisons"
"64","(default)","src/SimpleWebServer.java","3","67","PositionLiteralsFirstInComparisons: Position literals first in String comparisons","Best Practices","PositionLiteralsFirstInComparisons"
"65","(default)","src/SimpleWebServer.java","3","84","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"66","(default)","src/SimpleWebServer.java","3","84","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"67","(default)","src/SimpleWebServer.java","3","84","MethodArgumentCouldBeFinal: Parameter 'osw' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"68","(default)","src/SimpleWebServer.java","3","84","MethodArgumentCouldBeFinal: Parameter 'osw' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"69","(default)","src/SimpleWebServer.java","3","85","SignatureDeclareThrowsException: A method/constructor should not explicitly throw java.lang.Exception","Design","SignatureDeclareThrowsException"
"70","(default)","src/SimpleWebServer.java","3","85","SignatureDeclareThrowsException: A method/constructor should not explicitly throw java.lang.Exception","Design","SignatureDeclareThrowsException"
"71","(default)","src/SimpleWebServer.java","3","86","CloseResource: Ensure that resources like this FileReader object are closed after use","Error Prone","CloseResource"
"72","(default)","src/SimpleWebServer.java","3","86","CloseResource: Ensure that resources like this FileReader object are closed after use","Error Prone","CloseResource"
"73","(default)","src/SimpleWebServer.java","5","86","DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'fr' (lines '86'-'102').","Error Prone","DataflowAnomalyAnalysis"
"74","(default)","src/SimpleWebServer.java","5","86","DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'fr' (lines '86'-'102').","Error Prone","DataflowAnomalyAnalysis"
"75","(default)","src/SimpleWebServer.java","3","86","ShortVariable: Avoid variables with short names like fr","Code Style","ShortVariable"
"76","(default)","src/SimpleWebServer.java","3","86","ShortVariable: Avoid variables with short names like fr","Code Style","ShortVariable"
"77","(default)","src/SimpleWebServer.java","3","86","UnusedAssignment: The initializer for variable 'fr' is never used (overwritten on line 102)","Best Practices","UnusedAssignment"
"78","(default)","src/SimpleWebServer.java","3","86","UnusedAssignment: The initializer for variable 'fr' is never used (overwritten on line 102)","Best Practices","UnusedAssignment"
"79","(default)","src/SimpleWebServer.java","5","87","DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'c' (lines '87'-'103').","Error Prone","DataflowAnomalyAnalysis"
"80","(default)","src/SimpleWebServer.java","5","87","DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'c' (lines '87'-'103').","Error Prone","DataflowAnomalyAnalysis"
"81","(default)","src/SimpleWebServer.java","3","87","ShortVariable: Avoid variables with short names like c","Code Style","ShortVariable"
"82","(default)","src/SimpleWebServer.java","3","87","ShortVariable: Avoid variables with short names like c","Code Style","ShortVariable"
"83","(default)","src/SimpleWebServer.java","3","87","UnusedAssignment: The initializer for variable 'c' is never used (overwritten on line 103)","Best Practices","UnusedAssignment"
"84","(default)","src/SimpleWebServer.java","3","87","UnusedAssignment: The initializer for variable 'c' is never used (overwritten on line 103)","Best Practices","UnusedAssignment"
"85","(default)","src/SimpleWebServer.java","5","88","DataflowAnomalyAnalysis: Found 'DU'-anomaly for variable 'sb' (lines '88'-'121').","Error Prone","DataflowAnomalyAnalysis"
"86","(default)","src/SimpleWebServer.java","5","88","DataflowAnomalyAnalysis: Found 'DU'-anomaly for variable 'sb' (lines '88'-'121').","Error Prone","DataflowAnomalyAnalysis"
"87","(default)","src/SimpleWebServer.java","3","88","LocalVariableCouldBeFinal: Local variable 'sb' could be declared final","Code Style","LocalVariableCouldBeFinal"
"88","(default)","src/SimpleWebServer.java","3","88","LocalVariableCouldBeFinal: Local variable 'sb' could be declared final","Code Style","LocalVariableCouldBeFinal"
"89","(default)","src/SimpleWebServer.java","3","88","PrematureDeclaration: Avoid declaring a variable if it is unreferenced before a possible exit point.","Code Style","PrematureDeclaration"
"90","(default)","src/SimpleWebServer.java","3","88","PrematureDeclaration: Avoid declaring a variable if it is unreferenced before a possible exit point.","Code Style","PrematureDeclaration"
"91","(default)","src/SimpleWebServer.java","3","88","ShortVariable: Avoid variables with short names like sb","Code Style","ShortVariable"
"92","(default)","src/SimpleWebServer.java","3","88","ShortVariable: Avoid variables with short names like sb","Code Style","ShortVariable"
"93","(default)","src/SimpleWebServer.java","3","92","AvoidLiteralsInIfCondition: Avoid using Literals in Conditional Statements","Error Prone","AvoidLiteralsInIfCondition"
"94","(default)","src/SimpleWebServer.java","3","92","AvoidLiteralsInIfCondition: Avoid using Literals in Conditional Statements","Error Prone","AvoidLiteralsInIfCondition"
"95","(default)","src/SimpleWebServer.java","3","92","IfStmtsMustUseBraces: Avoid using if statements without curly braces","Code Style","IfStmtsMustUseBraces"
"96","(default)","src/SimpleWebServer.java","3","92","IfStmtsMustUseBraces: Avoid using if statements without curly braces","Code Style","IfStmtsMustUseBraces"
"97","(default)","src/SimpleWebServer.java","2","93","AvoidReassigningParameters: Avoid reassigning parameters such as 'pathname'","Best Practices","AvoidReassigningParameters"
"98","(default)","src/SimpleWebServer.java","2","93","AvoidReassigningParameters: Avoid reassigning parameters such as 'pathname'","Best Practices","AvoidReassigningParameters"
"99","(default)","src/SimpleWebServer.java","3","93","ControlStatementBraces: This statement should have braces","Code Style","ControlStatementBraces"
"100","(default)","src/SimpleWebServer.java","3","93","ControlStatementBraces: This statement should have braces","Code Style","ControlStatementBraces"
"101","(default)","src/SimpleWebServer.java","3","93","LawOfDemeter: Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"102","(default)","src/SimpleWebServer.java","3","93","LawOfDemeter: Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"103","(default)","src/SimpleWebServer.java","3","97","IfStmtsMustUseBraces: Avoid using if statements without curly braces","Code Style","IfStmtsMustUseBraces"
"104","(default)","src/SimpleWebServer.java","3","97","IfStmtsMustUseBraces: Avoid using if statements without curly braces","Code Style","IfStmtsMustUseBraces"
"105","(default)","src/SimpleWebServer.java","3","97","LawOfDemeter: Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"106","(default)","src/SimpleWebServer.java","3","97","LawOfDemeter: Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"107","(default)","src/SimpleWebServer.java","3","97","LiteralsFirstInComparisons: Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"108","(default)","src/SimpleWebServer.java","3","97","LiteralsFirstInComparisons: Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"109","(default)","src/SimpleWebServer.java","3","97","PositionLiteralsFirstInComparisons: Position literals first in String comparisons","Best Practices","PositionLiteralsFirstInComparisons"
"110","(default)","src/SimpleWebServer.java","3","97","PositionLiteralsFirstInComparisons: Position literals first in String comparisons","Best Practices","PositionLiteralsFirstInComparisons"
"111","(default)","src/SimpleWebServer.java","3","98","ControlStatementBraces: This statement should have braces","Code Style","ControlStatementBraces"
"112","(default)","src/SimpleWebServer.java","3","98","ControlStatementBraces: This statement should have braces","Code Style","ControlStatementBraces"
"113","(default)","src/SimpleWebServer.java","1","102","AvoidFileStream: Avoid instantiating FileInputStream, FileOutputStream, FileReader, or FileWriter","Performance","AvoidFileStream"
"114","(default)","src/SimpleWebServer.java","1","102","AvoidFileStream: Avoid instantiating FileInputStream, FileOutputStream, FileReader, or FileWriter","Performance","AvoidFileStream"
"115","(default)","src/SimpleWebServer.java","5","103","DataflowAnomalyAnalysis: Found 'DU'-anomaly for variable 'c' (lines '103'-'121').","Error Prone","DataflowAnomalyAnalysis"
"116","(default)","src/SimpleWebServer.java","5","103","DataflowAnomalyAnalysis: Found 'DU'-anomaly for variable 'c' (lines '103'-'121').","Error Prone","DataflowAnomalyAnalysis"
"117","(default)","src/SimpleWebServer.java","3","105","AvoidCatchingGenericException: Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block","Design","AvoidCatchingGenericException"
"118","(default)","src/SimpleWebServer.java","3","105","AvoidCatchingGenericException: Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block","Design","AvoidCatchingGenericException"
"119","(default)","src/SimpleWebServer.java","3","125","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"120","(default)","src/SimpleWebServer.java","3","125","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"121","(default)","src/SimpleWebServer.java","3","125","MethodArgumentCouldBeFinal: Parameter 'argv' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"122","(default)","src/SimpleWebServer.java","3","125","MethodArgumentCouldBeFinal: Parameter 'argv' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"123","(default)","src/SimpleWebServer.java","3","125","SignatureDeclareThrowsException: A method/constructor should not explicitly throw java.lang.Exception","Design","SignatureDeclareThrowsException"
"124","(default)","src/SimpleWebServer.java","3","125","SignatureDeclareThrowsException: A method/constructor should not explicitly throw java.lang.Exception","Design","SignatureDeclareThrowsException"
"125","(default)","src/SimpleWebServer.java","3","128","LocalVariableCouldBeFinal: Local variable 'sws' could be declared final","Code Style","LocalVariableCouldBeFinal"
"126","(default)","src/SimpleWebServer.java","3","128","LocalVariableCouldBeFinal: Local variable 'sws' could be declared final","Code Style","LocalVariableCouldBeFinal"
